,TEMP,PRES,DEWP,RAIN,wd,WSPM,station,date_time
66,8.7,1012.3,-11.3,0.0,NW,1.6,Aotizhongxin,2013-03-03 18:00:00
67,12.2,1013.4,-13.7,0.0,NNW,2.0,Aotizhongxin,2013-03-03 19:00:00
68,11.7,1013.5,-12.6,0.0,N,0.9,Aotizhongxin,2013-03-03 20:00:00
69,5.3,1013.6,-10.9,0.0,N,0.0,Aotizhongxin,2013-03-03 21:00:00
70,3.1,1014.1,-10.2,0.0,NNE,1.8,Aotizhongxin,2013-03-03 22:00:00
71,5.2,1014.8,-10.6,0.0,NNW,1.7,Aotizhongxin,2013-03-03 23:00:00
72,7.7,1015.7,-11.1,0.0,N,2.6,Aotizhongxin,2013-03-04 00:00:00
73,8.2,1016.7,-11.7,0.0,N,2.8,Aotizhongxin,2013-03-04 01:00:00
74,8.1,1016.7,-11.8,0.0,N,4.3,Aotizhongxin,2013-03-04 02:00:00
75,7.2,1016.9,-11.6,0.0,N,2.8,Aotizhongxin,2013-03-04 03:00:00
76,6.0,1018.0,-11.6,0.0,NNW,1.0,Aotizhongxin,2013-03-04 04:00:00
77,2.7,1018.6,-10.9,0.0,SSE,0.5,Aotizhongxin,2013-03-04 05:00:00
78,3.8,1018.9,-11.4,0.0,N,2.3,Aotizhongxin,2013-03-04 06:00:00
79,6.5,1019.7,-10.7,0.0,N,2.3,Aotizhongxin,2013-03-04 07:00:00
80,9.0,1020.7,-12.2,0.0,NE,3.1,Aotizhongxin,2013-03-04 08:00:00
81,10.6,1020.8,-12.1,0.0,NNE,1.3,Aotizhongxin,2013-03-04 09:00:00
82,11.9,1020.4,-12.4,0.0,NE,2.1,Aotizhongxin,2013-03-04 10:00:00
83,13.1,1020.0,-13.0,0.0,NE,3.0,Aotizhongxin,2013-03-04 11:00:00
84,14.2,1018.9,-13.9,0.0,N,2.7,Aotizhongxin,2013-03-04 12:00:00
85,15.3,1017.8,-13.0,0.0,S,2.0,Aotizhongxin,2013-03-04 13:00:00
86,15.2,1017.0,-13.1,0.0,SW,0.7,Aotizhongxin,2013-03-04 14:00:00
87,15.3,1016.3,-13.0,0.0,SSW,2.4,Aotizhongxin,2013-03-04 15:00:00
88,14.5,1015.7,-13.7,0.0,S,2.6,Aotizhongxin,2013-03-04 16:00:00
89,12.7,1015.9,-11.8,0.0,SW,2.6,Aotizhongxin,2013-03-04 17:00:00
90,11.6,1016.5,-11.3,0.0,SSW,3.4,Aotizhongxin,2013-03-04 18:00:00
91,10.9,1016.6,-10.6,0.0,SW,3.5,Aotizhongxin,2013-03-04 19:00:00
92,9.9,1016.9,-10.3,0.0,SSW,3.1,Aotizhongxin,2013-03-04 20:00:00
93,8.4,1016.9,-10.0,0.0,SSW,2.1,Aotizhongxin,2013-03-04 21:00:00
94,8.6,1016.3,-9.9,0.0,SSW,2.4,Aotizhongxin,2013-03-04 22:00:00
95,7.7,1015.7,-9.3,0.0,SW,2.1,Aotizhongxin,2013-03-04 23:00:00
